id,highway,name,oneway,lit,lanes,maxspeed,railway,boundary,access,natural,barrier,tunnel,bridge,incline,waterway,busway,toll
23184754,trunk,,yes,yes,2,50,,,,,,,,,,,
23184757,motorway,,yes,yes,3,,,,,,,,yes,,,,
23184760,motorway,,yes,yes,3,,,,,,,,yes,,,,
23184772,motorway,,yes,yes,,,,,,,,,yes,,,,
23184774,motorway,,yes,yes,,,,,,,,,yes,,,,
23184776,motorway,,yes,yes,,,,,,,,,,,,,
23184823,secondary,,yes,yes,,,,,,,,,,,,,
23184824,primary,,yes,yes,2,50,,,,,,yes,,,,,
23184834,primary,,yes,,3,,,,,,,,,,,,
23184835,primary,,yes,,,,,,,,,,,,,,
23184837,primary,,yes,yes,2,50,,,,,,yes,,,,,
23184908,primary,,yes,,,,,,,,,,,,,,
23184912,primary,,yes,,,,,,,,,,yes,,,,
23184913,primary,,yes,,,,,,,,,,,,,,
23184916,primary,,yes,,,,,,,,,,yes,,,,
23184933,primary_link,,yes,,,,,,,,,,,,,,
23184937,tertiary,,yes,,2,,,,,,,,,,,,
23184940,residential,,,,,,,,,,,,,,,,
23184953,residential,,,,,,,,,,,,,,,,
23184976,motorway_link,,yes,yes,,,,,,,,,,,,,
23185012,residential,,yes,,,,,,,,,,,,,,
23185019,residential,,yes,,,,,,,,,,,,,,
23185023,residential,,yes,,,,,,,,,,,,,,
23185063,residential,,yes,,,,,,,,,,,,,,
23185084,residential,,yes,,,,,,,,,,,,,,
23185090,residential,,yes,,,,,,,,,,,,,,
23185096,footway,,,no,,,,,,,,,yes,,,,
23185097,residential,,yes,,,,,,,,,,,,,,
23185099,residential,,yes,,,,,,,,,,,,,,
23185107,residential,,,,,,,,,,,,,,,,
23185108,residential,,yes,,,,,,,,,,,,,,
23185109,residential,,,,,,,,,,,,,,,,
23185111,residential,,yes,,,,,,,,,,,,,,
23185112,primary_link,,no,yes,,,,,,,,,,,,,
23185116,tertiary,,yes,,,,,,,,,,,,,,
23199924,secondary,,yes,yes,,,,,,,,,,,,,
23199927,secondary,,yes,,,,,,,,,,,,,,
23199931,residential,,yes,,,,,,,,,,,,,,
23199934,residential,,yes,,,,,,,,,,,,,,
23199936,residential,,yes,,,,,,,,,,,,,,
23199937,residential,,,,,,,,,,,,,,,,
23199938,residential,,,,,,,,destination,,,,,,,,
23199941,primary,,yes,yes,,,,,,,,,,,,,
23199945,residential,,,,,,,,,,,,,,,,
23199947,residential,,yes,,,,,,,,,,,,,,
23199949,residential,,yes,,,,,,,,,,,,,,
23199951,residential,,yes,,,,,,,,,,,,,,
23199957,service,,,,,,,,,,,,,,,,
23199968,pedestrian,,yes,,,,,,,,,,,,,,
23199971,residential,,,,,,,,,,,,,,,,
23199978,secondary_link,,yes,,,,,,,,,,,,,,
23200007,residential,,,,,,,,,,,,,,,,
23200009,residential,,,,,,,,,,,,,,,,
23200010,residential,,,,,,,,,,,,,,,,
23200015,residential,,,,,,,,,,,,,,,,
23200018,pedestrian,,,,,,,,,,,,,,,,
23200019,pedestrian,,,,,,,,,,,,,,,,
23200029,,,,,,,rail,,,,,,,,,,
23200030,,,,,,,rail,,,,,,yes,,,,
23200035,,,,,,,subway,,,,,yes,,,,,
23200036,,,,,,,rail,,,,,,,,,,
23200058,residential,,yes,,,,,,,,,,,,,,
23200061,residential,,yes,,,,,,,,,,,,,,
23200065,residential,,,,,,,,,,,,,,,,
23200067,residential,,,,,,,,,,,,,,,,
23200072,residential,,,,,,,,,,,,,,,,
23200074,residential,,,,,,,,,,,,,,,,
23200086,pedestrian,,,,,,,,,,,,,,,,
23200093,pedestrian,,,,,,,,,,,,,,,,
23200095,pedestrian,,,,,,,,,,,,,,,,
23200097,residential,,yes,,,,,,,,,,,,,,
23200099,residential,,yes,,,,,,,,,,,,,,
23200100,residential,,no,,,,,,,,,,,,,,
23200103,residential,,yes,,,,,,,,,,,,,,
23200104,pedestrian,,,,,,,,,,,,,,,,
23200109,pedestrian,,,,,,,,,,,,,,,,
23200120,residential,,yes,,,,,,,,,,,,,,
23200121,residential,,yes,,,,,,,,,,,,,,
23200124,tertiary_link,,yes,,,,,,,,,,,,,,
23200128,residential,,yes,,,,,,,,,,,,,,
23200137,residential,,yes,,,,,,,,,,,,,,
23200139,residential,,yes,,,,,,,,,,,,,,
23200140,residential,,yes,,,,,,,,,,,,,,
23200143,residential,,yes,,,,,,,,,,,,,,
23200242,residential,,,,,,,,,,,,,,,,
23207659,,,,,,,rail,,,,,,yes,,,,
23207671,secondary,,yes,,,,,,,,,,,,,,
23207689,secondary,,yes,,,,,,,,,,yes,,,,
23207696,residential,,yes,,,,,,,,,,,,,,
23207700,residential,,yes,,,,,,,,,,,,,,
23207701,residential,,yes,,,,,,,,,,,,,,
23207702,residential,,yes,,,,,,,,,,,,,,
23207707,residential,,yes,,,,,,,,,,,,,,
23207709,residential,,,,,,,,,,,,,,,,
23207716,residential,,no,,,,,,,,,,,,,,
23207723,residential,,,,,,,,,,,,,,,,
23207724,residential,,,,,,,,,,,,,,,,
23207727,residential,,,,,,,administrative,,,,,,,,,
23207729,residential,,,,,,,,,,,,,,,,
23207731,residential,,,,,,,,,,,,,,,,
23207733,residential,,,,,,,,,,,,,,,,
23207737,residential,,yes,,,,,,,,,,,,,,
23207757,residential,,,,,,,,,,,,,,,,
23207758,residential,,,,,,,,,,,,,,,,
23207760,residential,,,,,,,,,,,,,,,,
23207763,residential,,,,,,,,,,,,,,,,
23207778,residential,,yes,,,,,,,,,,,,,,
23207785,residential,,yes,,,,,,,,,,,,,,
23207787,residential,,,,,,,,,,,,,,,,
23207790,residential,,yes,,,,,,,,,,,,,,
23207799,residential,,yes,,,,,,,,,,,,,,
23207821,residential,,yes,,,,,,,,,,,,,,
23207823,residential,,,,,,,,,,,,,,,,
23207829,footway,,,,,,,,,,,,,,,,
23207833,footway,,,,,,,,,,,,,,,,
23211460,residential,,yes,,,,,,,,,,,,,,
23211462,tertiary,,no,,,,,,,,,,,,,,
23211463,residential,,,,,,,,,,,,,,,,
23211465,residential,,,,,,,,,,,,,,,,
23211472,residential,,yes,,,,,,,,,,,,,,
23211476,residential,,,,,,,,,,,,,,,,
23211479,residential,,yes,,,,,,,,,,,,,,
23211480,residential,,yes,,,,,,,,,,,,,,
23211481,residential,,yes,,,,,,,,,,,,,,
23211482,residential,,yes,,,,,,,,,,,,,,
23211484,residential,,yes,,,,,,,,,,,,,,
23211486,residential,,yes,,,,,,,,,,,,,,
23211487,pedestrian,,,,,,,,,,,,,,,,
23211490,residential,,,,,,,,,,,,,,,,
23211495,residential,,no,,,,,,,,,,,,,,
23211496,residential,,yes,,,,,,,,,,,,,,
23211507,tertiary,,no,,,,,,,,,,,,,,
23211509,residential,,yes,,,,,,,,,,,,,,
23211513,residential,,,,,,,,,,,,,,,,
23211515,residential,,,,,,,,,,,,,,,,
23211517,residential,,yes,,,,,,,,,,,,,,
23211519,residential,,,,,,,,,,,,,,,,
23211521,service,,,,,,,,,,,,,,,,
23211522,residential,,,,,,,,,,,,,,,,
23211523,residential,,yes,,,,,,,,,,,,,,
23211527,residential,,yes,,,,,,,,,,,,,,
23211529,pedestrian,,,,,,,administrative,,,,,,,,,
23211530,residential,,,,,,,,,,,,,,,,
23211532,footway,,,,,,,,,,,,,,,,
23211534,residential,,,,,,,,,,,,,,,,
23211538,residential,,yes,,,,,,,,,,,,,,
23211540,residential,,yes,,,,,,,,,,,,,,
23211543,residential,,yes,,,,,,,,,,,,,,
23211552,residential,,yes,,,,,,,,,,,,,,
23211553,residential,,yes,,,,,,,,,,,,,,
23211559,residential,,yes,,,,,,,,,,,,,,
23211560,residential,,,,,,,,,,,,,,,,
23211561,residential,,yes,,,,,,,,,,,,,,
23211562,residential,,,,,,,,,,,,,,,,
23211575,residential,,yes,,,,,,,,,,,,,,
23211577,residential,,,,,,,,,,,,,,,,
23211579,residential,,yes,,,,,,,,,,,,,,
23211583,residential,,,,,,,,,,,,,,,,
23211585,pedestrian,,,,,,,,,,,,,,,,
23211586,pedestrian,,,,,,,,,,,,,,,,
23211587,tertiary,,yes,,,,,,,,,,,,,,
23211591,residential,,,,,,,,,,,,,,,,
23211593,residential,,,,,,,,,,,,,,,,
23211600,residential,,,,,,,,,,,,,,,,
23211601,residential,,,,,,,,,,,,,,,,
23211604,residential,,,,,,,,,,,,,,,,
23211605,residential,,yes,yes,1,50,,,,,,,,,,,
23211606,residential,,yes,,,,,,,,,,,,,,
